"","occupancy","extinction","colonization","synchrony","model"
"1",0.938888888888889,10,10,0.607595304919425,"Hanski"
"2",0.922222222222222,12,11,0.616372064206833,"Hanski"
"3",0.95,6,6,0.579804261216001,"Hanski"
"4",0.927777777777778,11,11,0.515865387162765,"Hanski"
"5",0.955555555555556,6,6,0.611393518141151,"Hanski"
"6",0.933333333333333,8,8,0.613313900005968,"Hanski"
"7",0.938888888888889,10,10,0.549287662409194,"Hanski"
"8",0.933333333333333,8,8,0.577369028035513,"Hanski"
"9",0.955555555555556,7,7,0.580921440603364,"Hanski"
"10",0.95,8,8,0.564739216301947,"Hanski"
"11",0.911111111111111,10,10,0.574943761161268,"Hanski"
"12",0.927777777777778,10,10,0.566442456601165,"Hanski"
"13",0.933333333333333,9,9,0.586242065667778,"Hanski"
"14",0.933333333333333,9,8,0.574946681902466,"Hanski"
"15",0.922222222222222,10,10,0.557605279439738,"Hanski"
"16",0.933333333333333,9,9,0.670863715075395,"Hanski"
"17",0.966666666666667,5,5,0.572206284896722,"Hanski"
"18",0.944444444444444,8,8,0,"Hanski"
"19",0.938888888888889,7,7,0,"Hanski"
"20",0.927777777777778,10,10,0,"Hanski"
"21",0.938888888888889,8,8,0,"Hanski"
"22",0.927777777777778,9,9,0,"Hanski"
"23",0.922222222222222,10,10,0,"Hanski"
"24",0.922222222222222,10,10,0,"Hanski"
"25",0.933333333333333,9,8,0,"Hanski"
"26",0.938888888888889,10,10,0,"Hanski"
"27",0.933333333333333,10,9,0,"Hanski"
"28",0.927777777777778,10,9,0,"Hanski"
"29",0.927777777777778,10,10,0,"Hanski"
"30",0.933333333333333,9,8,0,"Hanski"
"31",0.938888888888889,9,9,0,"Hanski"
"32",0.944444444444444,9,9,0,"Hanski"
"33",0.95,7,7,0,"Hanski"
"34",0.944444444444444,8,8,0,"Hanski"
"35",0.927777777777778,10,10,0,"Hanski"
"36",0.916666666666667,11,11,0,"Hanski"
"37",0.938888888888889,8,8,0,"Hanski"
"38",0.944444444444444,8,8,0,"Hanski"
"39",0.938888888888889,10,9,0,"Hanski"
"40",0.927777777777778,9,9,0,"Hanski"
"41",0.944444444444444,7,7,0,"Hanski"
"42",0.955555555555556,6,6,0,"Hanski"
"43",0.933333333333333,8,8,0,"Hanski"
"44",0.95,5,5,0,"Hanski"
"45",0.933333333333333,8,8,0,"Hanski"
"46",0.938888888888889,10,10,0,"Hanski"
"47",0.95,7,7,0,"Hanski"
"48",0.9,13,13,0,"Hanski"
"49",0.916666666666667,12,10,0,"Hanski"
"50",0.938888888888889,8,8,0,"Hanski"
"51",0.944444444444444,8,8,0,"Hanski"
"52",0.95,8,8,0,"Hanski"
"53",0.927777777777778,10,10,0,"Hanski"
"54",0.933333333333333,9,9,0,"Hanski"
"55",0.961111111111111,6,6,0,"Hanski"
"56",0.95,7,7,0,"Hanski"
"57",0.933333333333333,9,9,0,"Hanski"
"58",0.933333333333333,10,10,0,"Hanski"
"59",0.927777777777778,8,8,0,"Hanski"
"60",0.938888888888889,8,8,0,"Hanski"
"61",0.955555555555556,6,6,0,"Hanski"
"62",0.927777777777778,9,9,0,"Hanski"
"63",0.916666666666667,12,12,0,"Hanski"
"64",0.938888888888889,9,8,0,"Hanski"
"65",0.938888888888889,9,9,0,"Hanski"
"66",0.955555555555556,6,6,0,"Hanski"
"67",0.933333333333333,8,8,0,"Hanski"
"68",0.944444444444444,8,8,0,"Hanski"
"69",0.938888888888889,8,8,0,"Hanski"
"70",0.944444444444444,8,8,0,"Hanski"
"71",0.922222222222222,11,11,0,"Hanski"
"72",0.944444444444444,8,8,0,"Hanski"
"73",1,0,0,0,"Hanski"
"74",1,0,0,0,"Hanski"
"75",1,0,0,0,"Hanski"
"76",1,0,0,0,"Hanski"
"77",1,0,0,0,"Hanski"
"78",1,0,0,0,"Hanski"
"79",1,0,0,0,"Hanski"
"80",1,0,0,0,"Hanski"
"81",1,0,0,0,"Hanski"
"82",1,0,0,0,"Hanski"
"83",1,0,0,0,"Hanski"
"84",1,0,0,0,"Hanski"
"85",1,0,0,0,"Hanski"
"86",1,0,0,0,"Hanski"
"87",1,0,0,0,"Hanski"
"88",1,0,0,0,"Hanski"
"89",1,0,0,0,"Hanski"
"90",1,0,0,0,"Hanski"
"91",1,0,0,0,"Hanski"
"92",1,0,0,0,"Hanski"
"93",1,0,0,0,"Hanski"
"94",1,0,0,0,"Hanski"
"95",1,0,0,0,"Hanski"
"96",1,0,0,0,"Hanski"
"97",1,0,0,0,"Hanski"
"98",1,0,0,0,"Hanski"
"99",1,0,0,0,"Hanski"
"100",1,0,0,0,"Hanski"
"101",1,0,0,0,"Hanski"
"102",1,0,0,0,"Hanski"
"103",1,0,0,0,"Hanski"
"104",1,0,0,0,"Hanski"
"105",1,0,0,0,"Hanski"
"106",1,0,0,0,"Hanski"
"107",1,0,0,0,"Hanski"
"108",1,0,0,0,"Hanski"
"109",1,0,0,0,"Hanski"
"110",1,0,0,0,"Hanski"
"111",1,0,0,0,"Hanski"
"112",1,0,0,0,"Hanski"
"113",1,0,0,0,"Hanski"
"114",1,0,0,0,"Hanski"
"115",1,0,0,0,"Hanski"
"116",1,0,0,0,"Hanski"
"117",1,0,0,0,"Hanski"
"118",1,0,0,0,"Hanski"
"119",1,0,0,0,"Hanski"
"120",1,0,0,0,"Hanski"
"121",1,0,0,0,"Hanski"
"122",1,0,0,0,"Hanski"
"123",1,0,0,0,"Hanski"
"124",1,0,0,0,"Hanski"
"125",1,0,0,0,"Hanski"
"126",1,0,0,0,"Hanski"
"127",1,0,0,0,"Hanski"
"128",1,0,0,0,"Hanski"
"129",1,0,0,0,"Hanski"
"130",1,0,0,0,"Hanski"
"131",1,0,0,0,"Hanski"
"132",1,0,0,0,"Hanski"
"133",1,0,0,0,"Hanski"
"134",1,0,0,0,"Hanski"
"135",1,0,0,0,"Hanski"
"136",1,0,0,0,"Hanski"
"137",1,0,0,0,"Hanski"
"138",1,0,0,0,"Hanski"
"139",1,0,0,0,"Hanski"
"140",1,0,0,0,"Hanski"
"141",1,0,0,0,"Hanski"
"142",1,0,0,0,"Hanski"
"143",1,0,0,0,"Hanski"
"144",1,0,0,0,"Hanski"
"145",1,0,0,0,"Hanski"
"146",1,0,0,0,"Hanski"
"147",1,0,0,0,"Hanski"
"148",1,0,0,0,"Hanski"
"149",1,0,0,0,"Hanski"
"150",1,0,0,0,"Hanski"
"151",1,0,0,0,"Hanski"
"152",1,0,0,0,"Hanski"
"153",1,0,0,0,"Hanski"
"154",1,0,0,0,"Hanski"
"155",1,0,0,0,"Hanski"
"156",1,0,0,0,"Hanski"
"157",1,0,0,0,"Hanski"
"158",1,0,0,0,"Hanski"
"159",1,0,0,0,"Hanski"
"160",1,0,0,0,"Hanski"
"161",1,0,0,0,"Hanski"
"162",1,0,0,0,"Hanski"
"163",1,0,0,0,"Hanski"
"164",1,0,0,0,"Hanski"
"165",1,0,0,0,"Hanski"
"166",1,0,0,0,"Hanski"
"167",1,0,0,0,"Hanski"
"168",1,0,0,0,"Hanski"
"169",1,0,0,0,"Hanski"
"170",1,0,0,0,"Hanski"
"171",1,0,0,0,"Hanski"
"172",1,0,0,0,"Hanski"
"173",1,0,0,0,"Hanski"
"174",1,0,0,0,"Hanski"
"175",1,0,0,0,"Hanski"
"176",1,0,0,0,"Hanski"
"177",1,0,0,0,"Hanski"
"178",1,0,0,0,"Hanski"
"179",1,0,0,0,"Hanski"
"180",1,0,0,0,"Hanski"
"181",1,0,0,0,"Hanski"
"182",1,0,0,0,"Hanski"
"183",1,0,0,0,"Hanski"
"184",1,0,0,0,"Hanski"
"185",1,0,0,0,"Hanski"
"186",1,0,0,0,"Hanski"
"187",1,0,0,0,"Hanski"
"188",1,0,0,0,"Hanski"
"189",1,0,0,0,"Hanski"
"190",1,0,0,0,"Hanski"
"191",1,0,0,0,"Hanski"
"192",1,0,0,0,"Hanski"
"193",1,0,0,0,"Hanski"
"194",1,0,0,0,"Hanski"
"195",1,0,0,0,"Hanski"
"196",1,0,0,0,"Hanski"
"197",1,0,0,0,"Hanski"
"198",1,0,0,0,"Hanski"
"199",1,0,0,0,"Hanski"
"200",1,0,0,0,"Hanski"
"201",1,0,0,0,"Hanski"
"202",1,0,0,0,"Hanski"
"203",1,0,0,0,"Hanski"
"204",1,0,0,0,"Hanski"
"205",1,0,0,0,"Hanski"
"206",1,0,0,0,"Hanski"
"207",1,0,0,0,"Hanski"
"208",1,0,0,0,"Hanski"
"209",1,0,0,0,"Hanski"
"210",1,0,0,0,"Hanski"
"211",1,0,0,0,"Hanski"
"212",1,0,0,0,"Hanski"
"213",1,0,0,0,"Hanski"
"214",1,0,0,0,"Hanski"
"215",1,0,0,0,"Hanski"
"216",1,0,0,0,"Hanski"
"217",1,0,0,0,"Hanski"
"218",1,0,0,0,"Hanski"
"219",1,0,0,0,"Hanski"
"220",1,0,0,0,"Hanski"
