Year,NEC,DRW,TOH,ART,JND,MUP,RAB,SCU,AFL,HEM,DRM,BAY,FIR
2007,0.3,20,1.5,3.1,0.3,1.5,0,5.1,5.1,3,0.1,0.7,5
2008,2.8,2.1,0.7,2.1,0.5,1.4,0,1.5,4,3,1.7,1.9,9
2009,0,0,0,0.1,0.1,0.1,0.1,0,0.9,0.2,1.2,0.6,5
2010,0.1,0.1,0,0,0,0,0,0.1,0.3,1.6,1.5,1.3,1
2011,1,0.066666666666667,0.333333333333333,0,0,0.333333333333333,0,1.6,1.71428571428571,1.4,4.14285714285714,1.5,
2012,1.06666666666667,7.33333333333333,0.733333333333333,0.4,0.066666666666667,2.93333333333333,0.533333333333333,1.6,4.26666666666667,4.2,4.6,2.93333333333333,
2013,0.133333333333333,0,0,6.06666666666667,0,0.666666666666667,0,0,0.2,0.066666666666667,0.066666666666667,0.133333333333333,
2014,0.266666666666667,0.2,0.2,0,0.133333333333333,0.066666666666667,0,0.2,0.533333333333333,0.6,0.533333333333333,0.4,
2015,0.066666666666667,0.666666666666667,0,0,0,0,0,0.533333333333333,0.2,0.933333333333333,0,0,0
2016,0.066666666666667,0,0,0,0,0,0,0,0.933333333333333,0.733333333333333,0.066666666666667,0,0.066666666666667
2017,0.266666666666667,0,0,0.266666666666667,0,0.2,0,0.2,1.2,0.466666666666667,0.266666666666667,0,
2018,0.333333333333333,0,0,1.2,0,4.4,0.666666666666667,0.133333333333333,2.93333333333333,0.666666666666667,0.6,0,
2019,11.4,2.4,4.86666666666667,10.4666666666667,0.4,49.1333333333333,0.625,10.1333333333333,18.5714285714286,32.8666666666667,3.13333333333333,0.625,5.4
2020,0.45,0.3,0.25,0.45,0,0.05,1.5,0.05,0.4,0.65,3.5,0.65,2.35
2021,0.333333333333333,0,0,0,0,0.133333333333333,0,0,0.066666666666667,0.2,0.8,0.08,0.333333333333333
