"elpd_diff" "se_diff" "elpd_waic" "se_elpd_waic" "p_waic" "se_p_waic" "waic" "se_waic"
"mci2" 0 0 -145.288713573498 22.2583862833161 46.6130490824759 13.3006818540595 290.577427146996 44.5167725666322
"mci1" -5.50318583190841 5.65350728854462 -150.791899405407 26.4364879760761 52.8215948274226 17.0308864235181 301.583798810813 52.8729759521523
"mci5" -12.121594009568 10.9089161387954 -157.410307583066 30.5590499237597 53.3756759903095 19.4253497243351 314.820615166132 61.1180998475194
"mci4" -14.5093776266903 11.6016043075857 -159.798091200188 31.3701081688666 56.2109436938379 20.2040054325933 319.596182400377 62.7402163377331
"mci3" -6.18143673007917e+59 4.93336924896645e+59 -6.18143673007917e+59 4.93336924896645e+59 6.18143673007917e+59 4.93336924896645e+59 1.23628734601583e+60 9.8667384979329e+59
