"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"North.Dune",1.21922180019629e-16,1.6894906127947e-16,1.14945251494981e-16,1.50779877458566e-16,1.57597740245511e-16,1.90028928170557e-16,5.48428226173524e-17,9.71400067473543e-17,0,1.01253466084166e-40,2.35103267605551e-40,3.36356733689717e-40,1.16783008289288e-16,1.18555505317455e-16,2.35103267605551e-40
"Dorm.Dune",9.99713770866055e-57,1.38533986652783e-56,9.42530816651748e-57,1.23635992593155e-56,1.292275019688e-56,1.55819626760878e-56,4.49692897510348e-57,7.96527432850292e-57,6.34117116802988e-302,8.36437378312295e-62,1.94214744831725e-61,2.77858482662954e-61,9.57610714059136e-57,9.72145638652914e-57,1.94214744831725e-61
"Mussel.Point",1.16502919075788e-12,1.14068869421385e-12,3.3813915345168e-13,3.23190184789234e-229,6.61213749128062e-13,1.40477425667554e-12,8.84896299181586e-13,2.55792395032267e-13,2.71900903461718e-229,2.49496247455232e-229,5.11584790064534e-13,1.55165948250654e-12,2.43705616199504e-12,2.06515249154204e-13,4.05421354095795e-13
"Artemisia.Dune",6.84962502902122e-45,8.59871951193124e-45,3.68162774137962e-45,2.72684740726732e-142,1.12460551440765e-97,2.78504391273294e-45,1.4295815587402e-52,4.41419006703538e-45,2.29410516944302e-142,2.10507072156261e-142,5.08830238377631e-53,9.30896169453193e-53,7.81860672390284e-45,6.4738628906654e-53,6.89548714127605e-98
"Front.Dune",1.56532056023589e-19,1.5653205602348e-19,5.66779398037659e-20,1.31602100789845e-19,1.26375698419718e-19,1.70033819410788e-19,2.83389699018923e-20,9.41400202969293e-20,1.10717254998172e-19,1.0159414440692e-19,8.50169097054466e-20,9.80367285180293e-20,2.53587509646054e-19,9.70968137590231e-20,5.66779398033903e-20
"Overlook.1",1.24541069038224e-147,7.59679316137531e-148,2.0860612960166e-228,1.99953780466244e-148,1.51259195745652e-148,1.02771787950561e-147,1.08142642415874e-228,3.02518391491303e-148,5.23270844372155e-148,2.11250736319417e-228,2.29691053047442e-228,2.96951752798446e-228,7.87977726359512e-148,3.72011648626503e-148,5.40713212079371e-229
"Overlook.2",9.61771799196143e-189,5.86664421893986e-189,0,1.54414851807692e-189,1.16810326072122e-189,7.93657932817957e-189,3.191673398253e-217,2.33620652144245e-189,4.04097335397233e-189,2.01372171064035e-217,5.50682761670857e-217,5.86403467754857e-217,6.08517946296633e-189,2.8728700932511e-189,5.20539510889335e-217
"South.Dune",2.53304116675184e-19,5.58867012247759e-19,2.90626712920143e-304,1.3614927361513e-19,4.11971798289773e-19,4.20979854288132e-19,1.63239962910987e-19,2.39142223187573e-19,1.02992949572443e-19,1.02992949572443e-19,2.39142223187573e-19,2.66232912483431e-19,7.64852911392645e-19,3.04261391622773e-19,2.6623291248343e-19
